Dataset,Method,TP,FP,FN,Precision,Recall,F1,Runtime
Antivirus,PCMCI,4,30,12,0.11764705882352941,0.25,0.15999999999999998,68.23938322067261
Antivirus,CBNB_e,9,21,7,0.3,0.5625,0.3913043478260869,10.015188932418823
Antivirus,NBCB_e,9,30,7,0.23076923076923078,0.5625,0.32727272727272727,7.902283191680908
Antivirus,GCMVL,1,7,15,0.125,0.0625,0.08333333333333333,0.33290696144104004
Antivirus,DYNOTEARS,13,108,3,0.10743801652892562,0.8125,0.18978102189781024,8.07165002822876
Web_Activity,PCMCI,8,18,6,0.3076923076923077,0.5714285714285714,0.4,120.89051699638367
Web_Activity,CBNB_e,5,16,9,0.23809523809523808,0.35714285714285715,0.2857142857142857,20.872378826141357
Web_Activity,NBCB_e,6,21,8,0.2222222222222222,0.42857142857142855,0.29268292682926833,19.620821952819824
Web_Activity,GCMVL,1,5,13,0.16666666666666666,0.07142857142857142,0.1,0.45490312576293945
Web_Activity,DYNOTEARS,9,46,5,0.16363636363636364,0.6428571428571429,0.2608695652173913,33.4085738658905
Middleware,PCMCI,0,6,10,0.0,0.0,0.0,0.341264009475708
Middleware,CBNB_e,1,5,9,0.16666666666666666,0.1,0.125,0.4302799701690674
Middleware,NBCB_e,2,5,8,0.2857142857142857,0.2,0.23529411764705882,0.41365814208984375
Middleware,GCMVL,0,1,10,0.0,0.0,0.0,0.16542911529541016
Middleware,DYNOTEARS,6,12,4,0.3333333333333333,0.6,0.42857142857142855,4.0555901527404785
Storm,PCMCI,0,12,9,0.0,0.0,0.0,2.9767751693725586
Storm,CBNB_e,1,6,8,0.14285714285714285,0.1111111111111111,0.125,0.7116780281066895
Storm,NBCB_e,2,7,7,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6556601524353027
Storm,GCMVL,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.32857584953308105
Storm,DYNOTEARS,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.030112028121948242
