dataset,method,precision,recall,f1,f1_adjacency,f1_orientation,tp,fp,fn,predicted,true
Antivirus,PCMCI,0.118,0.25,0.16,0.364,0.16,4,30,12,34,16
Antivirus,CBNB_e,0.3,0.562,0.391,0.429,0.391,9,21,7,30,16
Antivirus,NBCB_e,0.231,0.562,0.327,0.408,0.327,9,30,7,39,16
Antivirus,GCMVL,0.125,0.062,0.083,0.348,0.083,1,7,15,8,16
Web_Activity,PCMCI,0.308,0.571,0.4,0.5,0.4,8,18,6,26,14
Web_Activity,CBNB_e,0.238,0.357,0.286,0.414,0.286,5,16,9,21,14
Web_Activity,NBCB_e,0.222,0.429,0.293,0.471,0.293,6,21,8,27,14
Web_Activity,GCMVL,0.167,0.071,0.1,0.2,0.1,1,5,13,6,14
Middleware,PCMCI,0.0,0.0,0.0,0.25,0.0,0,6,10,6,10
Middleware,CBNB_e,0.167,0.1,0.125,0.533,0.125,1,5,9,6,10
Middleware,NBCB_e,0.286,0.2,0.235,0.4,0.235,2,5,8,7,10
Middleware,GCMVL,0.0,0.0,0.0,0.0,0.0,0,1,10,1,10
Storm,PCMCI,0.0,0.0,0.0,0.1,0.0,0,12,9,12,9
Storm,CBNB_e,0.143,0.111,0.125,0.25,0.125,1,6,8,7,9
Storm,NBCB_e,0.222,0.222,0.222,0.333,0.222,2,7,7,9,9
Storm,GCMVL,0.2,0.111,0.143,0.308,0.143,1,4,8,5,9
